trojan,vmess,shadowsocks
89675.0,85166.0,86723.0
88808.0,87079.0,136910.0
89444.0,85295.0,87187.0
90530.0,87419.0,137534.0
90519.0,85924.0,155429.0
89986.0,214580.0,92932.0
88942.0,85792.0,86805.0
89661.0,85872.0,155343.0
89443.0,86159.0,86434.0
127959.0,85142.0,161017.0
103266.0,85764.0,232227.0
89282.0,85439.0,105494.0
89113.0,85370.0,93329.0
90257.0,85381.0,87310.0
89490.0,85796.0,136709.0
89547.0,85459.0,136809.0
88922.0,85660.0,86989.0
89508.0,85289.0,212488.0
89263.0,85615.0,87424.0
89616.0,86886.0,86760.0
88786.0,86137.0,150285.0
88983.0,85878.0,87116.0
89550.0,85559.0,199181.0
88395.0,85652.0,162590.0
88948.0,85819.0,87182.0
89269.0,85779.0,86621.0
89238.0,85573.0,86769.0
78029.0,85621.0,87295.0
89288.0,85728.0,155869.0
89374.0,85484.0,86566.0
89599.0,85185.0,86994.0
89501.0,86165.0,86884.0
89500.0,215954.0,86971.0
89358.0,85843.0,86920.0
89385.0,85903.0,86556.0
91532.0,85714.0,87178.0
95478.0,85237.0,86395.0
126572.0,85834.0,87260.0
89145.0,85534.0,87296.0
76794.0,87031.0,149225.0
89266.0,85896.0,106268.0
88840.0,85487.0,87068.0
88994.0,85437.0,86790.0
88841.0,85598.0,155730.0
89166.0,85540.0,229850.0
89184.0,85565.0,87090.0
89021.0,85299.0,86727.0
89431.0,85359.0,86363.0
88986.0,85854.0,86760.0
88990.0,85653.0,155787.0
89093.0,85548.0,155402.0
89039.0,85767.0,87912.0
89716.0,85555.0,86839.0
88909.0,85380.0,86617.0
89958.0,85448.0,86742.0
89296.0,87053.0,86898.0
108980.0,85659.0,87389.0
89356.0,85930.0,86931.0
89465.0,85747.0,155645.0
89120.0,85643.0,87079.0
89428.0,85850.0,87055.0
88864.0,87102.0,161418.0
89096.0,85604.0,87160.0
89344.0,85838.0,117943.0
89560.0,85752.0,87160.0
89077.0,85497.0,5607.0
89109.0,85583.0,155085.0
89312.0,85378.0,155667.0
89416.0,85766.0,87104.0
89248.0,214961.0,87627.0
91216.0,85342.0,230076.0
89749.0,85818.0,87020.0
89032.0,86002.0,87178.0
88758.0,85746.0,87206.0
89742.0,85265.0,86630.0
88965.0,85167.0,143129.0
89250.0,85850.0,149184.0
